SDSS_objid,DECaLS_iauname,ra,dec,type,redshift,r_mag,sersic_nmgy_r
5.8772298e+17,J131820.01-010530.0,199.583403,-1.091679248,S,0.085784696,16.101273,697.34125
5.8772298e+17,J143902.72-003807.7,219.7625063,-0.635232256,P,0.13675708,16.731949,675.78
5.8772298e+17,J130257.66+002807.3,195.7402745,0.468688338,S,0.08209267,15.923321,554.9739
5.8772298e+17,J141132.36+002756.8,212.8848652,0.465784781,E,0.14471209,16.707241,422.78766
5.8772401e+17,J005618.88+152531.9,14.07870573,15.42555297,S,0.070794076,16.012377,708.7286
5.8772497e+17,J114224.33-023406.7,175.6014229,-2.568541911,X,0.043405034,17.471579,118.15414
5.8772497e+17,J113219.44-020742.3,173.081013,-2.128430575,S,0.040725555,15.393489,1390.4155
5.8772497e+17,J125315.79-031033.9,193.3149008,-3.175066327,S,0.084464505,16.42411,557.0097
5.8772497e+17,J115846.24-012757.0,179.6925129,-1.465674398,B,0.021373587,15.931705,413.96588
5.8772497e+17,J094603.68+001000.4,146.5153855,0.166808096,F,0.04892132,16.750597,499.72614
5.8772497e+17,J101744.98-022210.8,154.4373927,-2.369702187,S,0.046208706,15.539293,630.22156
5.8772497e+17,J100612.09-013312.0,151.5503048,-1.553361417,S,0.03301956,13.75853,4724.995
5.8772497e+17,J101430.36-010626.9,153.6265304,-1.107472152,F,0.059740018,15.887661,5972.925
5.87726e+17,J142228.58+011743.1,215.6191041,1.295316625,S,0.117244996,16.422676,416.23727
5.87726e+17,J132445.63+015450.1,201.1901391,1.913928998,F,0.09728233,16.835672,225.71759
5.87726e+17,J144127.57+012921.8,220.3649245,1.489395659,S,0.084915034,17.350502,203.69601
5.87726e+17,J132119.87+021859.1,200.3327585,2.316471062,X,0.14310382,17.932636,154.08264
5.87726e+17,J121222.48+025052.4,183.0937079,2.847894314,S,0.077166155,15.537604,1087.0554
5.87726e+17,J140327.81+023143.7,210.8658985,2.528797844,F,0.07263558,15.635405,551.5934
5.87726e+17,J125426.07+033704.0,193.6120665,3.617438522,X,0.06525213,15.835497,523.2609
5.87726e+17,J131021.91+033205.1,197.5913162,3.534759375,Q,0.029410942,15.419018,1122.003
5.87726e+17,J095306.82+011459.0,148.2784345,1.24972943,Q,0.0938159,17.101433,195.2614
5.87726e+17,J101800.73+012116.3,154.5031069,1.354499061,X,0.12638988,17.414425,132.07277
5.87726e+17,J123613.17+014116.3,189.0548993,1.687879448,X,0.07778707,16.930532,193.32529
5.87726e+17,J133558.58+014348.2,203.994091,1.730047291,Q,0.022911945,14.392784,2556.1475
5.87726e+17,J094115.82+013125.1,145.315957,1.523656453,S,0.024506938,17.215818,201.67935
5.87726e+17,J102302.44+022221.4,155.7601914,2.372648787,S,0.06322346,17.066845,270.6431
5.87726e+17,J104747.14+032011.1,161.9463595,3.336409926,Phi,0.04288498,16.379517,470.9149
5.87726e+17,J154058.14+025646.8,235.2422923,2.94634253,SE,0.0771862,15.532194,996.35364
5.87726e+17,J140916.98+043125.8,212.3208262,4.523828996,S,0.092421986,16.857754,266.40555
5.8772697e+17,J214646.56-075336.9,326.6941463,-7.893644497,S,0.1320082,15.469518,865.52704
5.8772697e+17,J235357.40-101512.9,358.4892003,-10.25351893,F,0.07497532,15.612181,806.4702
5.8772697e+17,J024903.61-081225.2,42.26506485,-8.206980496,X,0.055318315,15.893368,484.132
5.8772697e+17,J004502.54-094829.1,11.2606237,-9.808106342,E,0.019401064,15.105909,1582.2034
5.8772697e+17,J210455.01-072325.6,316.2292254,-7.390481432,S,0.065988384,15.834098,631.1124
5.87728e+17,J020605.19-093544.1,31.52165616,-9.595606778,Q,0.060709484,15.618221,781.53143
5.87728e+17,J092222.03+023513.8,140.5926093,2.585911762,mis,0.08756126,16.07408,633.47943
5.8772903e+17,J092951.05+025319.0,142.4627536,2.888602112,Phi,0.12736416,16.736183,470.1841
5.8772903e+17,J102220.60+035741.7,155.5860062,3.961441197,Phi,0.023183266,16.360662,347.25003
5.8772903e+17,J104233.05+043830.5,160.6378328,4.641805205,Q,0.068916984,16.892473,246.54651
5.8772903e+17,J101251.65+044730.4,153.213905,4.794492349,Q,0.032052107,14.190881,4641.328
5.8772903e+17,J100829.22-004410.1,152.1218049,-0.736190668,F,0.06732961,17.097498,194.0885
5.8772903e+17,J101439.69-004949.0,153.664814,-0.830923749,F,0.04901973,13.794093,4144.5674
5.8772903e+17,J134233.60+033930.2,205.6400962,3.6584612,X,0.077916585,17.179226,226.30048
5.8772903e+17,J143957.79+030755.4,219.9908025,3.13207051,Phi,0.12121993,16.530308,579.798
5.8772903e+17,J134956.05+040823.3,207.4835693,4.139813805,SE,0.0242128,15.107259,1195.9956
5.8772903e+17,J133226.11+044435.3,203.1088592,4.743171421,S,0.08207372,17.427277,237.23926
5.8772903e+17,J142737.25+043000.6,216.905166,4.500131643,Q,0.04798998,15.961796,589.6922
5.8772903e+17,J144325.65+042244.6,220.8568854,4.379081115,Phi,0.026415588,13.822952,4527.86
5.8772903e+17,J150913.44+035547.8,227.306053,3.929945188,X,0.09803473,16.700567,346.78503
5.8772903e+17,J135406.26+052122.8,208.5260926,5.356355686,F,0.018221851,14.14211,2963.3215
5.8772903e+17,J131122.32+060506.9,197.8430055,6.085274037,X,0.1386023,16.979509,181.61761
5.8772903e+17,J135609.70+053914.0,209.0404416,5.653882494,SE,0.08007019,15.536633,1602.634
5.8772999e+17,J140335.59-020755.0,210.8995276,-2.131772396,X,0.024485305,14.375662,2578.7048
5.8772999e+17,J132404.40-032221.7,201.0183535,-3.372713497,S,0.09757565,16.232615,440.51175
5.8772999e+17,J135215.86-024632.6,208.0661412,-2.77572916,Phi,0.080505334,17.47978,645.77216
5.8772999e+17,J140138.69-022600.0,210.4102426,-2.433022246,Phi,0.050513975,15.083267,1913.7876
5.8772999e+17,J143143.29-021243.3,217.929894,-2.213560029,S,0.02950378,14.944624,1314.8849
5.8772999e+17,J140425.92-015116.9,211.1080537,-1.854705775,Q,0.05373575,16.398537,319.73233
5.8772999e+17,J144532.24-024439.1,221.3843681,-2.744206663,X,0.057100207,15.646811,1914.9066
5.8772999e+17,J150219.80-021752.6,225.5825433,-2.29796781,S,0.07207641,17.338594,206.63374
5.8772999e+17,J151011.93-021454.5,227.5497628,-2.248490572,F,0.03792247,14.617811,2144.9956
5.8772999e+17,J142437.94-013756.2,216.1581005,-1.632272077,F,0.05496389,15.514544,867.78357
5.8772999e+17,J151408.79+044247.0,228.53734,4.714416741,Q,0.038139056,14.474316,2302.162
5.8772999e+17,J141057.35+062153.4,212.7389771,6.364851984,S,0.0196527,12.975143,8591.943
5.8772999e+17,J140939.60+064143.9,212.4150131,6.695557184,S,0.14665693,17.317677,160.62617
5.8772999e+17,J140901.91+070823.7,212.2580772,7.139909386,S,0.019857626,16.82637,390.5371
5.8773102e+17,J204719.06+001914.9,311.8294523,0.320794804,F,0.014010564,12.362735,41522.793
5.8773102e+17,J004527.56-005424.5,11.36484889,-0.906832277,X,0.106563,17.432873,226.90103
5.8773102e+17,J004547.94-005110.0,11.45168077,-0.854268747,Phi,0.11575819,16.725204,401.04034
5.8773102e+17,J005701.00-005247.0,14.25854666,-0.875174283,E,0.044160094,13.492585,6783.8184
5.8773102e+17,J220527.01-003200.4,331.3625487,-0.533459037,B,0.03109159,14.632536,2680.2666
5.8773102e+17,J232415.75-001145.9,351.0656646,-0.196104993,S,0.11936416,16.030266,595.5692
5.8773102e+17,J002758.53-000626.2,6.993912007,-0.107340157,S,0.04252462,15.903567,409.0574
5.8773102e+17,J002855.37-000419.9,7.228559065,-0.073031137,S,0.068497084,16.498308,437.37277
5.8773102e+17,J005558.23-000757.5,13.99265443,-0.132660854,F,0.044765204,16.003805,481.8903
5.8773102e+17,J225216.82+002212.5,343.0700989,0.370147653,S,0.078935914,15.997031,457.53934
5.8773102e+17,J003937.28+001237.9,9.905399938,0.210560518,S,0.08022626,17.603613,220.91464
5.8773102e+17,J231814.71+004556.9,349.5613523,0.76585228,F,0.029655159,14.777814,2006.1223
5.8773102e+17,J000140.21+010531.2,0.417564332,1.092012476,Phi,0.061096404,15.721178,886.3618
5.8773102e+17,J004639.45+010828.7,11.66443644,1.14131829,SE,0.10264221,17.456213,132.67055
5.8773198e+17,J011530.44-005139.5,18.87690067,-0.860910944,S,0.005860302,13.185857,14370.241
5.8773198e+17,J021226.88-005046.1,33.11202068,-0.846148198,E,0.09751638,17.794971,218.47714
5.8773198e+17,J011448.67-002946.0,18.70282846,-0.496105782,S,0.03384342,13.986753,3431.8828
5.8773198e+17,J022302.60-000831.9,35.76087648,-0.142213623,S,0.07349672,16.298004,567.458
5.8773198e+17,J011532.01+001723.2,18.88342542,0.289794557,S,0.046625674,15.431207,896.9024
5.8773198e+17,J014434.10+004418.7,26.14211512,0.73853778,SE,0.059086505,15.035778,1519.5441
5.8773198e+17,J015413.58+010955.6,28.55664352,1.165459948,Q,0.027518798,16.252951,583.4916
5.8773198e+17,J023558.30+011526.8,38.99291817,1.257492659,X,0.12432959,17.304741,182.6601
5.8773198e+17,J074406.97+291457.3,116.0380481,29.24744311,S,0.015838616,12.758354,23028.883
5.8773198e+17,J082416.90+302909.0,126.0714049,30.48582311,Q,0.06515517,15.422351,1772.5206
5.8773301e+17,J085516.84+042804.1,133.8202225,4.467825415,Phi,0.07244348,14.947861,1897.7822
5.8773301e+17,J090049.81+043459.8,135.2075612,4.583299867,mis,0.09459302,15.130423,1676.1682
5.8773301e+17,J092234.80+050839.7,140.6450442,5.144383581,S,0.058909874,15.010132,1228.1721
5.8773301e+17,J100342.25+055654.6,150.9260834,5.948515196,F,0.08994106,16.89459,216.61482
5.8773301e+17,J082656.14+040503.5,126.7339521,4.084324566,Q,0.05588169,15.031782,1224.3304
5.8773301e+17,J105639.97+070723.9,164.166523,7.123328469,F,0.10543364,16.666061,552.0192
